Mg;FeMn;Ca;Label
0.7;0.3;0;Type  A
0.2;0.8;0;Type  A
0.2;0.7;0.1;Type  A
0.5;0.4;0.1;Type  A
0;1;0;Type B I
0;0.9;0.1;Type B I
0.2;0.7;0.1;Type B I
0.2;0.8;0;Type B I
0;0.9;0.1;Type B II
0;0.45;0.55;Type B II
0.1;0.4;0.5;Type B II
0.1;0.6;0.3;Type B II
0.2;0.7;0.1;Type B II
0.1;0.6;0.3;Type C I 
0.1;0;0.9;Type C I 
0.4;0;0.6;Type C I 
0.4;0.5;0.1;Type C I 
0.2;0.7;0.1;Type C I 
1;0;0;Type C II 
0.7;0.3;0;Type C II 
0.5;0.4;0.1;Type C II 
0.4;0.5;0.1;Type C II 
0.4;0;0.6;Type C II 
0;0;1;Type D
0.1;0;0.9;Type D
0.1;0.4;0.5;Type D
0;0.45;0.55;Type D
